Amplitude A,Amplitude B,Amplitude C,Ration A/B,Ratio A/C,Ratio B/A,Ratio B/C,Ratio C/A,Ratio C/B,STD Abw. A,STD Abw. B,STD Abw. C,SW OK A,SW OK B,SW OK C,Schwelle A,Schwelle B,Schwelle C
4.28125,1.53906,0.94531,2.19531,4.07031,0.45313,1.84375,0.24219,0.53906,3.5625,1.5625,0.83594,84.77344,74.49219,100,5.7,1.65,1.975
4.32031,2.24219,0.99219,2.19531,4.07031,0.45313,1.84375,0.24219,0.53906,3.55469,1.5625,0.83594,84.77344,74.49219,100,5.7,1.65,1.975
4.32031,2.24219,0.99219,2.20313,4.07813,0.44531,1.84375,0.24219,0.53906,3.55469,1.5625,0.83594,84.67969,74.21875,100,5.7,1.65,1.975
5.84375,2.08594,1.375,2.20313,4.07813,0.44531,1.84375,0.24219,0.53906,3.58594,1.57031,0.84375,84.67969,74.21875,100,5.7,1.65,1.975
5.84375,2.08594,1.375,2.23438,4.11719,0.44531,1.83594,0.24219,0.53906,3.58594,1.57031,0.84375,83.41406,73.89844,100,5.7,1.65,1.975
6.97656,1.88281,1.03125,2.23438,4.11719,0.44531,1.83594,0.24219,0.53906,3.61719,1.5625,0.83594,83.41406,73.89844,100,5.7,1.65,1.975
6.97656,1.88281,1.03125,2.25781,4.15625,0.4375,1.82813,0.23438,0.53906,3.61719,1.5625,0.83594,82.22656,73.86719,100,5.7,1.65,1.975
3.67188,1.92969,1.13281,2.25781,4.15625,0.4375,1.82813,0.23438,0.53906,3.60938,1.54688,0.83594,82.22656,73.86719,100,5.7,1.65,1.975
3.67188,1.92969,1.13281,2.27344,4.17969,0.4375,1.83594,0.23438,0.53906,3.60938,1.54688,0.83594,82.01563,73.86719,100,5.7,1.65,1.975
3.96094,2.32031,1.32813,2.27344,4.17969,0.4375,1.83594,0.23438,0.53906,3.60938,1.54688,0.83594,82.01563,73.86719,100,5.7,1.65,1.975
3.96094,2.32031,1.32813,2.27344,4.14844,0.4375,1.82031,0.23438,0.54688,3.60938,1.54688,0.83594,82.01563,73.86719,100,5.7,1.65,1.975
3.05469,2.50781,0.88281,2.27344,4.14844,0.4375,1.82031,0.23438,0.54688,3.60938,1.53906,0.83594,82.01563,73.86719,100,5.7,1.65,1.975
3.05469,2.50781,0.88281,2.25781,4.16406,0.4375,1.83594,0.23438,0.53906,3.60938,1.53906,0.83594,82.01563,73.86719,100,5.7,1.65,1.975
